,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
5,20170710X52551,Accident,1979-09-17,Non-Fatal,Substantial,Airplane,MCDONNELL DOUGLAS,DC9,No,0.0,0.0,1.0,44.0
7,20020909X01562,Accident,1982-01-01,Non-Fatal,Substantial,Airplane,CESSNA,140,No,0.0,0.0,0.0,2.0
8,20020909X01561,Accident,1982-01-01,Non-Fatal,Substantial,Airplane,CESSNA,401B,No,0.0,0.0,0.0,2.0
12,20020917X02148,Accident,1982-01-02,Non-Fatal,Destroyed,Airplane,BELLANCA,17-30A,No,0.0,0.0,1.0,0.0
13,20020917X02134,Accident,1982-01-02,Fatal,Destroyed,Airplane,CESSNA,R172K,No,1.0,0.0,0.0,0.0
14,20020917X02119,Accident,1982-01-02,Fatal,Destroyed,Airplane,NAVION,A,No,1.0,0.0,0.0,0.0
15,20020917X02117,Accident,1982-01-02,Fatal,Destroyed,Airplane,BEECH,19,No,2.0,0.0,0.0,0.0
17,20020917X01656,Accident,1982-01-02,Fatal,Destroyed,Airplane,CESSNA,180,No,3.0,0.0,0.0,0.0
18,20020917X02481,Accident,1982-01-02,Non-Fatal,Substantial,Airplane,CESSNA,172,No,0.0,0.0,0.0,1.0
20,20020917X01894,Accident,1982-01-02,Non-Fatal,Substantial,Airplane,CESSNA,152,No,0.0,0.0,0.0,1.0
21,20020917X01776,Accident,1982-01-02,Non-Fatal,Substantial,Airplane,CESSNA,150L,No,0.0,0.0,0.0,2.0
23,20020917X02333,Incident,1982-01-03,Incident,Minor,Airplane,PIPER,PA-24-180,No,0.0,0.0,0.0,1.0
24,20020917X02255,Accident,1982-01-03,Fatal,Destroyed,Airplane,GRUMMAN,AA-5B,No,2.0,1.0,0.0,0.0
25,20020917X01905,Accident,1982-01-03,Fatal,Destroyed,Airplane,CESSNA,414A,No,8.0,0.0,0.0,0.0
26,20020917X01720,Accident,1982-01-03,Fatal,Destroyed,Airplane,BEECHCRAFT,BE-58,No,1.0,0.0,0.0,0.0
27,20020917X02483,Accident,1982-01-03,Non-Fatal,Substantial,Airplane,MAULE,M-5-235C,No,0.0,0.0,0.0,2.0
28,20020917X02340,Accident,1982-01-03,Non-Fatal,Substantial,Airplane,CESSNA,210L,No,0.0,0.0,1.0,1.0
29,20020917X02155,Accident,1982-01-03,Non-Fatal,Substantial,Airplane,BELLANCA,7GCBC,No,0.0,0.0,2.0,0.0
30,20020917X01992,Accident,1982-01-03,Non-Fatal,Substantial,Airplane,CESSNA,182,No,0.0,0.0,2.0,0.0
31,20020917X01960,Accident,1982-01-03,Non-Fatal,Substantial,Airplane,AIR TRACTOR,AT-301,No,0.0,0.0,0.0,1.0
32,20020917X02618,Accident,1982-01-04,Fatal,Destroyed,Airplane,PIPER,PA-28-161,No,4.0,0.0,0.0,0.0
