,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
16,20020917X01962,Accident,1982-01-02,Non-Fatal,Destroyed,Helicopter,ENSTROM,280C,No,0.0,0.0,0.0,1.0
19,20020917X02339,Accident,1982-01-02,Non-Fatal,Substantial,Helicopter,SMITH,WCS-222 (BELL 47G),No,0.0,0.0,0.0,2.0
22,20020917X01657,Accident,1982-01-02,Non-Fatal,Substantial,Helicopter,BELL,206L-1,No,0.0,0.0,0.0,1.0
46,20020917X02157,Accident,1982-01-06,Non-Fatal,Substantial,Helicopter,AEROSPATIALE,SA-316B,No,0.0,0.0,0.0,6.0
91,20020917X02577,Accident,1982-01-15,Non-Fatal,Substantial,Helicopter,HUGHES,269C,No,0.0,0.0,0.0,1.0
96,20020917X02096,Accident,1982-01-16,Fatal,Destroyed,Helicopter,BELL HELICOPTER,206L-1,No,1.0,2.0,0.0,0.0
108,20020917X01660,Accident,1982-01-17,Non-Fatal,Substantial,Helicopter,BELL,206B,No,0.0,0.0,0.0,2.0
137,20020917X01915,Accident,1982-01-20,Non-Fatal,Substantial,Helicopter,HUGHES,269C,No,0.0,0.0,0.0,2.0
151,20020917X02578,Accident,1982-01-22,Non-Fatal,Substantial,Helicopter,SIKORSKY,S-58J,No,0.0,0.0,0.0,2.0
162,20020917X01916,Accident,1982-01-23,Non-Fatal,Substantial,Helicopter,BELL/TEXTRON,206 L-1,No,0.0,0.0,0.0,2.0
163,20020917X02162,Accident,1982-01-23,Non-Fatal,Substantial,Helicopter,BELL,47G-2,No,0.0,0.0,0.0,1.0
177,20020917X01918,Accident,1982-01-26,Non-Fatal,Substantial,Helicopter,HUGHES,369D,No,0.0,0.0,2.0,2.0
178,20020917X02261,Accident,1982-01-27,Fatal,Destroyed,Helicopter,BELL,UH1B,Yes,1.0,0.0,0.0,0.0
216,20020917X02135,Accident,1982-02-01,Non-Fatal,Destroyed,Helicopter,AEROSPATIALE,SA-360C,No,0.0,1.0,0.0,0.0
233,20020917X01785,Accident,1982-02-03,Non-Fatal,Substantial,Helicopter,BELL,206L-1,No,0.0,0.0,0.0,1.0
235,20020917X02401,Accident,1982-02-04,Fatal,Destroyed,Helicopter,ROBINSON,R-22,No,2.0,0.0,0.0,0.0
237,20020917X02008,Accident,1982-02-04,Non-Fatal,Substantial,Helicopter,BELL,206L-1,No,0.0,0.0,0.0,1.0
289,20020917X01796,Accident,1982-02-10,Non-Fatal,Substantial,Helicopter,SIKORSKY,UH-19B,No,0.0,0.0,0.0,2.0
309,20020917X02329,Accident,1982-02-14,Fatal,Destroyed,Helicopter,BELL,214B-1,No,1.0,1.0,0.0,0.0
360,20020917X02268,Accident,1982-02-19,Non-Fatal,Substantial,Helicopter,BELL,47G2,No,0.0,0.0,0.0,1.0
388,20020917X02623,Accident,1982-02-22,Non-Fatal,Destroyed,Helicopter,KAMAN,HH-43F,No,0.0,0.0,1.0,0.0
418,20020917X02098,Accident,1982-02-26,Fatal,Destroyed,Helicopter,ROBINSON,R22,No,1.0,0.0,0.0,0.0
430,20020917X02355,Accident,1982-02-27,Non-Fatal,Substantial,Helicopter,HUGHES,269C,No,0.0,0.0,0.0,1.0
445,20020917X02023,Accident,1982-02-28,Non-Fatal,Substantial,Helicopter,BELL,47G,No,0.0,0.0,0.0,1.0
